first_num,output
57,"{'perovskite_composition': 'Cs 0.05 (FA0.83MA0.17)0.95Pb(I0.83Br0.17)3', 'electron_transport_layer': 'buckminsterfullerene', 'hole_transport_layer': 'poly(triarylamine)', 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': 'ISOSLT', 'passivating_molecule': None, 'humidity': None, 'temperature': 27.0, 'time': 350.0, 'control_pce': None, 'treated_pce': 21.0, 'control_voc': None, 'treated_voc': 1.09, 'efficiency_control': None, 'efficiency_tret': 0.95}}"
58,"{'perovskite_composition': 'FA0.83Cs0.17Pb(I0.83Br0.17)3', 'electron_transport_layer': 'buckminsterfullerene', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'test_1': {'stability_type': None, 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': None, 'control_pce': None, 'treated_pce': 18.5, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None}}"
59,"{'perovskite_composition': 'MAPbI 3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'poly(triarylamine) (PTAA)/ indium tin oxide (ITO)/glass substrates', 'test_1': {'stability_type': None, 'passivating_molecule': 'NIP', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': 17.5, 'treated_pce': 19.0, 'control_voc': 1.16, 'treated_voc': 1.25, 'efficiency_control': None, 'efficiency_tret': None}}"
60,"{'perovskite_composition': '(FAPbI3)0.95(MAPbBr3)0.05', 'electron_transport_layer': 'TinOxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': None, 'passivating_molecule': 'NOTE:This is how to prepare the PSC,relevent...?', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': None, 'treated_pce': 21.7, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None}}"
61,"{'perovskite_composition': None, 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOST', 'passivating_molecule': 'methylammonium lead iodide', 'humidity': 30.0, 'temperature': 85.0, 'time': 125.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.6}, 'test_2': {'stability_type': None, 'passivating_molecule': None, 'humidity': 40.0, 'temperature': None, 'time': 600.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.92}}"
62,"{'perovskite_composition': 'CH 3 NH 3 PbI 3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': 'methylammonium lead iodide', 'humidity': 55.0, 'temperature': 80.0, 'time': 720.0, 'control_pce': None, 'treated_pce': 17.3, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.83, 'efficiency_cont': 0.44}, 'test_2': {'stability_type': 'ISOST', 'passivating_molecule': None, 'humidity': None, 'temperature': 80.0, 'time': 720.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.74, 'efficiency_cont': 0.27}}"
63,"{'perovskite_composition': 'CH3NH3PbI3', 'electron_transport_layer': None, 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'test_1': {'stability_type': None, 'passivating_molecule': None, 'humidity': None, 'temperature': 100.0, 'time': None, 'control_pce': None, 'treated_pce': 11.6, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None}}"
64,"{'perovskite_composition': None, 'electron_transport_layer': 'bathocuproine', 'hole_transport_layer': 'TaTm', 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': None, 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': None, 'control_pce': 18.6, 'treated_pce': 17.0, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None}}"
65,"{'perovskite_composition': 'methylammonium lead iodide', 'electron_transport_layer': None, 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'test_1': {'stability_type': None, 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': None, 'control_pce': None, 'treated_pce': 4.73, 'control_voc': None, 'treated_voc': 1.18, 'efficiency_control': None, 'efficiency_tret': None}}"
66,"{'perovskite_composition': 'Cs0.15FA0.85PbI2.55Br0.45', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': None, 'test_1': {'stability_type': 'ISOSD1', 'passivating_molecule': None, 'humidity': 30.0, 'temperature': 21.0, 'time': 1566.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.95, 'efficiency_cont': 0.93}, 'test_2': {'stability_type': 'ISOSD3', 'passivating_molecule': None, 'humidity': 85.0, 'temperature': 85.0, 'time': 48.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None, 'efficiency_cont': 0.32}, 'test_3': {'stability_type': 'ISOSO3', 'passivating_molecule': None, 'humidity': 601.0, 'temperature': None, 'time': 4380.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.99, 'efficiency_cont': 0.49}}"
67,"{'perovskite_composition': 'FA0.83Cs0.17PbI2.7Br0.3', 'electron_transport_layer': 'TinOxide', 'hole_transport_layer': 'polybisphenyl(trimethylphenyl)amine', 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': 'ISOSLT', 'passivating_molecule': None, 'humidity': None, 'temperature': 250.0, 'time': None, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.96}, 'test_2': {'stability_type': None, 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': 500.0, 'control_pce': None, 'treated_pce': 9.0, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.8}, 'test_2_2': {'stability_type': 'ISOSL2', 'passivating_molecule': None, 'humidity': None, 'temperature': 85.0, 'time': 800.0, 'control_pce': None, 'treated_pce': 21.3, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.95}, 'test_3': {'stability_type': 'ISOSD1', 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': 500.0, 'control_pce': None, 'treated_pce': 7.0, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 1.0}, 'test_3_2': {'stability_type': 'ISOSD1', 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': 500.0, 'control_pce': None, 'treated_pce': 7.0, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 1.0}, 'test_1_2': {'stability_type': 'ISOSLT', 'passivating_molecule': None, 'humidity': None, 'temperature': 250.0, 'time': None, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.96}}"
68,"{'perovskite_composition': 'CH3NH3PbI3', 'electron_transport_layer': 'TinOxide', 'hole_transport_layer': 'PEDOT:PSS', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSLT', 'passivating_molecule': 'methylammonium lead iodide', 'humidity': 50.0, 'temperature': 23.0, 'time': 4300.0, 'control_pce': None, 'treated_pce': 12.8, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 1.0, 'efficiency_cont': 0.0}, 'test_2': {'stability_type': 'ISOSLT', 'passivating_molecule': None, 'humidity': None, 'temperature': 60.0, 'time': 1032.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.99, 'efficiency_cont': 0.0}}"
69,"{'perovskite_composition': 'CH3NH3PbI3', 'electron_transport_layer': 'TinOxide', 'hole_transport_layer': None, 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': 'PCBM', 'humidity': 60.0, 'temperature': 25.0, 'time': 1000.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.9, 'efficiency_cont': 0.0}}"
70,"{'perovskite_composition': 'FA0.83MA0.17Pb-(I0.83Br0.17)3', 'electron_transport_layer': 'TinOxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOST', 'passivating_molecule': None, 'humidity': None, 'temperature': 75.0, 'time': None, 'control_pce': None, 'treated_pce': 19.4, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None}, 'test_2': {'stability_type': 'ISOST', 'passivating_molecule': None, 'humidity': None, 'temperature': 20.0, 'time': 15.0, 'control_pce': None, 'treated_pce': 17.7, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None}}"
71,"{'perovskite_composition': 'CH3NH3PbI3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': None, 'test_1': {'stability_type': None, 'passivating_molecule': 'butylammonium', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None}}"
72,"{'perovskite_composition': 'Cs0.05FA0.8MA0.15PbI2.88Br0.04Cl0.08', 'electron_transport_layer': 'ligand allylammonium', 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOST', 'passivating_molecule': 'poly(methyl methacrylate)', 'humidity': None, 'temperature': None, 'time': 80.0, 'control_pce': 20.0, 'treated_pce': 19.9, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.99, 'efficiency_cont': 0.5}}"
73,"{'perovskite_composition': 'FA0.98Cs0.02PbI3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': 'ISOSD', 'passivating_molecule': 'CF3 -PEAI', 'humidity': 85.0, 'temperature': 85.0, 'time': 1000.0, 'control_pce': None, 'treated_pce': 25.1, 'control_voc': 1.02, 'treated_voc': 1.09, 'efficiency_control': None, 'efficiency_tret': 0.98}, 'test_1_2': {'stability_type': 'ISOSLT', 'passivating_molecule': None, 'humidity': 50.0, 'temperature': 50.0, 'time': 1800.0, 'control_pce': 21.4, 'treated_pce': 23.6, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.82, 'efficiency_cont': 0.67}, 'test_2_2': {'stability_type': 'ISOSD', 'passivating_molecule': None, 'humidity': 85.0, 'temperature': 85.0, 'time': 1000.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.91}, 'test_2': {'stability_type': None, 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': None, 'control_pce': None, 'treated_pce': 24.8, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.98, 'efficiency_cont': 0.71}}"
74,"{'perovskite_composition': '(FAPbI3)0.95(MAPbBr3)0.05', 'electron_transport_layer': 'tin dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSLT', 'passivating_molecule': '4-fluorophenylethylammonium iodide', 'humidity': None, 'temperature': 60.0, 'time': 560.0, 'control_pce': 18.8, 'treated_pce': 21.2, 'control_voc': None, 'treated_voc': 1.13, 'efficiency_control': None, 'efficiency_tret': 0.9}, 'test_1_2': {'stability_type': 'ISOSLT', 'passivating_molecule': None, 'humidity': None, 'temperature': 60.0, 'time': 5000.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.9}}"
75,"{'perovskite_composition': None, 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': None}"
76,"{'perovskite_composition': None, 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': None}"
77,"{'perovskite_composition': 'FA0.9Cs0.1Pb3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': 'ISOSLT', 'passivating_molecule': '(phenethylamino)methaniminium iodide', 'humidity': None, 'temperature': 85.0, 'time': 1500.0, 'control_pce': 21.2, 'treated_pce': 24.1, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.9}}"
78,"{'perovskite_composition': 'formamidinium lead iodide', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': None, 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': None, 'control_pce': None, 'treated_pce': 19.2, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None}}"
79,"{'perovskite_composition': '(FAPbI3)0.97(MAPbBr3)0.03', 'electron_transport_layer': 'TitaniumDioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': 'Methylammonium Lead Bromide', 'humidity': 37.0, 'temperature': 28.0, 'time': None, 'control_pce': 18.5, 'treated_pce': 20.5, 'control_voc': None, 'treated_voc': 1.09, 'efficiency_control': None, 'efficiency_tret': None}}"
80,"{'perovskite_composition': None, 'electron_transport_layer': 'TitaniumDioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSD', 'passivating_molecule': 'poly(methyl methacrylate)', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': None, 'treated_pce': 21.6, 'control_voc': None, 'treated_voc': 1.14, 'efficiency_control': None, 'efficiency_tret': 96.7}}"
81,"{'perovskite_composition': 'CsMAFA', 'electron_transport_layer': 'TitaniumDioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': 500.0, 'control_pce': 15.8, 'treated_pce': 20.9, 'control_voc': 1.06, 'treated_voc': 1.14, 'efficiency_control': None, 'efficiency_tret': 0.9}, 'test_2': {'stability_type': 'ISOSD', 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': 1440.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.95, 'efficiency_cont': 0.38}}"
82,"{'perovskite_composition': None, 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': 'ISOSD', 'passivating_molecule': 'quanternary ammonium halides', 'humidity': 558.0, 'temperature': None, 'time': 800.0, 'control_pce': 17.1, 'treated_pce': 20.5, 'control_voc': 1.04, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 1.0, 'efficiency_cont': 0.7}, 'test_2': {'stability_type': 'ISOSL', 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': 26.0, 'control_pce': None, 'treated_pce': 21.1, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.86}}"
83,"{'perovskite_composition': None, 'electron_transport_layer': 'TitaniumDioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': 'ISOSD', 'passivating_molecule': None, 'humidity': 40.0, 'temperature': 25.0, 'time': 792.0, 'control_pce': 17.3, 'treated_pce': 20.2, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.96, 'efficiency_cont': 0.94}}"
84,"{'perovskite_composition': '(FAPbI 3 ) 0.95 (MAPbBr 3 ) 0.05', 'electron_transport_layer': None, 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOST', 'passivating_molecule': None, 'humidity': None, 'temperature': 60.0, 'time': None, 'control_pce': None, 'treated_pce': 23.2, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None, 'efficiency_cont': 0.95}, 'test_2': {'stability_type': 'ISOSL', 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': 310.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.92}}"
85,"{'perovskite_composition': 'HTAB 0.3 (FAPbI 3 ) 0.95 (MAPbBr 3 ) 0.05', 'electron_transport_layer': None, 'hole_transport_layer': 'Poly(3-hexylthiophene)', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': 'HTAB', 'humidity': 0.85, 'temperature': None, 'time': 1370.0, 'control_pce': None, 'treated_pce': 22.7, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.95}}"
86,"{'perovskite_composition': None, 'electron_transport_layer': 'TinOxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'test_1': {'stability_type': 'ISOSD', 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': 2880.0, 'control_pce': 18.9, 'treated_pce': 21.6, 'control_voc': 1.1, 'treated_voc': 1.11, 'efficiency_control': None, 'efficiency_tret': 0.92, 'efficiency_cont': 0.74}, 'test_2': {'stability_type': 'ISOSL', 'passivating_molecule': None, 'humidity': None, 'temperature': 120.0, 'time': None, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.86, 'efficiency_cont': 0.38}}"
87,"{'perovskite_composition': None, 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': 'europium ion pair', 'humidity': None, 'temperature': None, 'time': 1000.0, 'control_pce': None, 'treated_pce': 21.5, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.92}, 'test_2': {'stability_type': 'ISOST', 'passivating_molecule': None, 'humidity': None, 'temperature': 85.0, 'time': None, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.91}}"
88,"{'perovskite_composition': 'CaFAMA-F', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': 'formamidinium (FA)', 'humidity': None, 'temperature': 254.0, 'time': 100.0, 'control_pce': 48.8, 'treated_pce': 20.5, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.9}, 'test_2': {'stability_type': 'ISOST', 'passivating_molecule': None, 'humidity': None, 'temperature': 85.0, 'time': 100.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.9, 'efficiency_cont': 0.5}, 'test_3': {'stability_type': 'ISOSD', 'passivating_molecule': None, 'humidity': 0.25, 'temperature': None, 'time': 600.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.9}}"
89,"{'perovskite_composition': 'BA2MA3PbI13', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': None, 'passivating_molecule': 'FAPbI3', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': None, 'treated_pce': 20.8, 'control_voc': None, 'treated_voc': 1.14, 'efficiency_control': None, 'efficiency_tret': None}}"
90,"{'perovskite_composition': '(FAPbI 3 ) 0.85 (MAPbBr 3 ) 0.15', 'electron_transport_layer': None, 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': None, 'passivating_molecule': 'MAPbI 3', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': 18.7, 'treated_pce': 19.8, 'control_voc': None, 'treated_voc': 1.17, 'efficiency_control': None, 'efficiency_tret': None}}"
91,"{'perovskite_composition': None, 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': None, 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': 'Formamidinium Lead Iodide', 'humidity': 25.0, 'temperature': 25.0, 'time': 120.0, 'control_pce': None, 'treated_pce': 24.0, 'control_voc': None, 'treated_voc': 1.13, 'efficiency_control': None, 'efficiency_tret': 0.9}, 'test_2': {'stability_type': 'ISOST', 'passivating_molecule': None, 'humidity': None, 'temperature': 40.0, 'time': 300.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.9, 'efficiency_cont': 0.6}}"
92,"{'perovskite_composition': None, 'electron_transport_layer': 'ISOSLT', 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': None, 'humidity': 40.0, 'temperature': None, 'time': None, 'control_pce': 20.0, 'treated_pce': 21.3, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.9, 'efficiency_cont': 0.5}, 'test_2': {'stability_type': 'ISOSD', 'passivating_molecule': None, 'humidity': 25.0, 'temperature': 25.0, 'time': 500.0, 'control_pce': 1.5, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 1.0}, 'test_3': {'stability_type': None, 'passivating_molecule': None, 'humidity': None, 'temperature': 450.0, 'time': None, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.67}}"
93,"{'perovskite_composition': None, 'electron_transport_layer': 'TinOxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': None, 'passivating_molecule': 'FA0.5MA0.5PbI3', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': None, 'treated_pce': 21.2, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None}}"
94,"{'perovskite_composition': None, 'electron_transport_layer': None, 'hole_transport_layer': 'polymeric poly(4-vinylpyridine)', 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': None, 'humidity': 255.0, 'temperature': 254.0, 'time': 6000.0, 'control_pce': 19.1, 'treated_pce': 20.6, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.8}, 'test_2': {'stability_type': 'ISOSLT', 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': 700.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.9, 'efficiency_cont': 0.8}, 'test_3': {'stability_type': 'ISOST', 'passivating_molecule': None, 'humidity': None, 'temperature': 85.0, 'time': 300.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.8}}"
95,"{'perovskite_composition': '(FAPbI3)0.95(MAPbBr3)0.05', 'electron_transport_layer': 'TitaniumDioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'test_1': {'stability_type': None, 'passivating_molecule': 'oleylammonium iodide', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': 5.9, 'treated_pce': 23.3, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None}, 'test_2': {'stability_type': 'ISOSD', 'passivating_molecule': None, 'humidity': 65.0, 'temperature': 65.0, 'time': 100.0, 'control_pce': 85.0, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.9, 'efficiency_cont': 0.2}, 'test_1_2': {'stability_type': None, 'passivating_molecule': None, 'humidity': 85.0, 'temperature': 25.0, 'time': None, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None}}"
96,"{'perovskite_composition': '(FAPbI3)0.85(MAPbBr3)0.15', 'electron_transport_layer': None, 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'test_1': {'stability_type': None, 'passivating_molecule': 'NIP', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': None, 'treated_pce': 22.1, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None}}"
97,"{'perovskite_composition': 'Cs 0.05 (FA0.92MA0.08)0.95Pb(I0.92Br0.08)3', 'electron_transport_layer': None, 'hole_transport_layer': None, 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': 'ISOSLT', 'passivating_molecule': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 1000.0, 'control_pce': 19.2, 'treated_pce': 21.2, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 1.0, 'efficiency_cont': 0.58}, 'test_2': {'stability_type': None, 'passivating_molecule': 'ISOST', 'humidity': None, 'temperature': 85.0, 'time': 1020.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.9}}"
98,"{'perovskite_composition': 'methylammonium lead iodide', 'electron_transport_layer': None, 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSLT', 'passivating_molecule': None, 'humidity': 60.0, 'temperature': None, 'time': 4.0, 'control_pce': 17.2, 'treated_pce': 19.3, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.95, 'efficiency_cont': 0.3}}"
99,"{'perovskite_composition': None, 'electron_transport_layer': 'TinOxide', 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSO', 'passivating_molecule': 'chlorine-rich mixed-halide perovskite interlayer', 'humidity': None, 'temperature': None, 'time': 500.0, 'control_pce': 18.0, 'treated_pce': 21.0, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.94, 'efficiency_cont': 0.0}, 'test_2': {'stability_type': None, 'passivating_molecule': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 500.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.82}}"
100,"{'perovskite_composition': None, 'electron_transport_layer': 'Lanthanum oxide / Tin Oxide Bilayer', 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': 1920.0, 'control_pce': 21.1, 'treated_pce': 23.2, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.97, 'efficiency_cont': 0.92}, 'test_2': {'stability_type': 'ISOSLT', 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': 180.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.91, 'efficiency_cont': 0.83}, 'test_3': {'stability_type': None, 'passivating_molecule': None, 'humidity': 75.0, 'temperature': None, 'time': 120.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 0.8, 'efficiency_cont': 0.71}}"
